,area_cd,year,item_cd,pesticide_vol,avg_rain,avg_temp,tot_yield,new_metric,pest_rain,pest_temp,rain_temp,pest_rain_temp,pest2,temp2,rain2
523,4,1990,56,0.00497278303463318,0.011915961116337411,0.6244431244431246,16500,5.92554892806713e-05,5.9255489280671325e-05,0.003105220175324105,0.007440839990228516,3.700168286682848e-05,2.4728571109535576e-05,0.38992921566429156,0.00014199012932606512
524,4,1991,56,0.006693603934286875,0.011915961116337411,0.5910305910305912,19231,7.976072420912547e-05,7.976072420912551e-05,0.003956124689406262,0.007042697541286443,4.7141027970347435e-05,4.4804333629100725e-05,0.3493171595339699,0.00014199012932606512
525,4,1992,56,0.003304792924513476,0.011915961116337411,0.40213840213840224,22828,3.937978398604956e-05,3.937978398604958e-05,0.0013289841460621466,0.0047918655632672585,1.583612340870542e-05,1.0921656273914335e-05,0.1617152944744273,0.00014199012932606512
526,4,1993,56,0.002778442732131094,0.011915961116337411,0.22007722007722014,12500,3.3107815560044384e-05,3.31078155600444e-05,0.0006114719526311676,0.002622431597031786,7.286276011283904e-06,7.719744015732097e-06,0.048433982796917185,0.00014199012932606512
527,4,1994,56,0.0034123306355824047,0.011915961116337411,0.9346599346599349,4512,4.0661199169686836e-05,4.0661199169686856e-05,0.0031893687288915445,0.01113737143840625,3.800439375913412e-05,1.1644000366534218e-05,0.8735891934585138,0.00014199012932606512
528,4,1995,56,0.007333364946610723,0.011915961116337411,0.38907038907038916,16115,8.738409155572511e-05,8.738409155572515e-05,0.002853195152972988,0.004636147627681025,3.399856250014849e-05,5.37782414401789e-05,0.151375767651384,0.00014199012932606512
529,4,1996,56,0.001304401166399422,0.011915961116337411,0.5714285714285716,17154,1.554319357892067e-05,1.5543193578920678e-05,0.0007453720950853842,0.0068091206379070944,8.88182490224039e-06,1.7014624029041724e-06,0.32653061224489816,0.00014199012932606512
530,4,1997,56,0.0010908212117985538,0.011915961116337411,0.4734184734184735,21417,1.2998183144667617e-05,1.2998183144667622e-05,0.0005164149128621607,0.005641236121010347,6.153580021562279e-06,1.1898909161096655e-06,0.2241250509738779,0.00014199012932606512
531,4,1998,56,0.0008777034926182092,0.011915961116337411,0.2398772398772399,17222,1.0458680689712116e-05,1.0458680689712121e-05,0.00021054109123986944,0.0028583678630715328,2.5087994566055313e-06,7.703634209542029e-07,0.0575410902111229,0.00014199012932606512
532,4,1999,56,0.0017793616561470951,0.011915961116337411,0.44149094149094154,22375,2.1202804306550515e-05,2.1202804306550525e-05,0.000785572052825262,0.005260788892021254,9.36084603554718e-06,3.1661279033665333e-06,0.19491425141855795,0.00014199012932606512
533,4,2000,56,0.0016412892170047386,0.011915961116337411,0.455895455895456,36186,1.955753849049233e-05,1.955753849049234e-05,0.0007482562958426713,0.0054324325255651704,8.916192926315933e-06,2.693830293856028e-06,0.20784066670612567,0.00014199012932606512
534,4,2001,56,0.0019307029708903712,0.011915961116337411,0.43362043362043373,27175,2.3006181528326773e-05,2.3006181528326784e-05,0.0008371922594297424,0.005167004226270456,9.975950410263473e-06,3.7276139618049056e-06,0.18802668045317297,0.00014199012932606512
535,4,2002,56,0.002220116724776004,0.011915961116337411,0.5490545490545492,33480,2.6454824566161215e-05,2.645482456616123e-05,0.0012189651871703515,0.00654251265728218,1.4525141772490864e-05,4.92891827163013e-06,0.30146089783749436,0.00014199012932606512
537,4,2004,56,0.010190442080868577,0.011915961116337411,0.3471933471933472,31729,0.0001214289115939184,0.00012142891159391845,0.0035380536954366993,0.00413714242500696,4.21593102623376e-05,0.00010384510980353709,0.12054322033532014,0.00014199012932606512
538,4,2005,56,0.009959351560925511,0.011915961116337411,0.3394713394713395,33864,0.00011867524594392263,0.00011867524594392268,0.003380914414653359,0.004045127281251459,4.028684470267408e-05,9.91886835141094e-05,0.11524079032246543,0.00014199012932606512
539,4,2006,56,0.011177069990817287,0.011915961116337411,0.6649836649836651,65668,0.00013318553140516048,0.00013318553140516054,0.00743256896627262,0.007923919494944897,8.856620279660068e-05,0.00012492689357962834,0.4422032746951074,0.00014199012932606512
540,4,2007,56,0.014657621136405239,0.011915961116337411,0.5601425601425603,85625,0.00017465964351941012,0.0001746596435194102,0.008210357428945735,0.006674636966264438,9.783429987454936e-05,0.0002148458573783936,0.3137596876830617,0.00014199012932606512
541,4,2008,56,0.031421349990630225,0.011915961116337411,0.3694683694683695,44714,0.00037441558471117847,0.00037441558471117863,0.011609194947533116,0.004402570724301675,0.00013833471558678532,0.0009873012352336781,0.13650687603761558,0.00014199012932606512
542,4,2009,56,0.010517079381265804,0.011915961116337411,0.38295218295218303,30914,0.00012532110896459718,0.00012532110896459723,0.004027538507337134,0.004563243321474743,4.7991992247980905e-05,0.0001106089587118463,0.14665237442784226,0.00014199012932606512
543,4,2010,56,0.0035234302784212528,0.011915961116337411,0.4894564894564895,25827,4.1985058193793526e-05,4.1985058193793546e-05,0.0017245658149207678,0.005832344496502541,2.054985919316061e-05,1.2414560926895667e-05,0.2395676550710706,0.00014199012932606512
544,4,2011,56,0.037690458666963085,0.011915961116337411,0.58984258984259,23374,0.0004491180399324543,0.0004491180399324545,0.022231437752476598,0.0070285413653240585,0.00026490894781878673,0.0014205706745260528,0.3479142807922138,0.00014199012932606512
545,4,2012,56,0.04725601283992114,0.011915961116337411,0.6094446094446095,25583,0.0005631008115136414,0.0005631008115136417,0.028799922289135194,0.007262118268703407,0.0003431787541508741,0.0022331307495267916,0.37142273198109266,0.00014199012932606512
579,4,1990,116,0.00497278303463318,0.011915961116337411,0.6244431244431246,78936,5.92554892806713e-05,5.9255489280671325e-05,0.003105220175324105,0.007440839990228516,3.700168286682848e-05,2.4728571109535576e-05,0.38992921566429156,0.00014199012932606512
580,4,1991,116,0.006693603934286875,0.011915961116337411,0.5910305910305912,90747,7.976072420912547e-05,7.976072420912551e-05,0.003956124689406262,0.007042697541286443,4.7141027970347435e-05,4.4804333629100725e-05,0.3493171595339699,0.00014199012932606512
581,4,1992,116,0.003304792924513476,0.011915961116337411,0.40213840213840224,107917,3.937978398604956e-05,3.937978398604958e-05,0.0013289841460621466,0.0047918655632672585,1.583612340870542e-05,1.0921656273914335e-05,0.1617152944744273,0.00014199012932606512
